board: 0 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 1 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 23 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 24 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 25 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 26 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 27 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 28 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 29 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 30 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 31 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 32 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 33 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 34 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 35 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 36 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 37 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 38 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 39 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 40 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 41 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 42 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 43 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 44 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 45 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 46 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 47 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 48 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 49 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 50 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 51 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 52 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 53 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 54 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 55 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 56 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 57 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 58 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 59 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 60 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 61 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 62 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 63 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 64 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 65 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 66 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 67 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 68 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 69 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 70 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 71 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 72 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 73 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 74 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 75 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 76 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 77 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 78 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 79 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 80 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 81 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 82 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 83 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 84 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 85 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 86 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 87 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 88 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 89 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 90 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 91 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 92 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 93 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 94 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 95 dimension: 6 filled tiles: 0
type1 = 5, type2 = 0, type3 = 0, type4 = 0, type5 = 0board: 96 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 97 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 98 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 99 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 100 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 101 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 102 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 103 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 104 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 105 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 106 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 107 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 108 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 109 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 110 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 111 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 112 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 113 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 114 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 115 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 116 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 117 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 118 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 119 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 120 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 121 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 122 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 123 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 124 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 125 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 126 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 127 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 128 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 129 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 130 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 131 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 132 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 133 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 134 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 135 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 136 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 137 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 138 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 139 dimension: 6 filled tiles: 0
type1 = 5, type2 = 0, type3 = 0, type4 = 0, type5 = 0board: 140 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 141 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 142 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 143 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 144 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 145 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 146 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 147 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 148 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 149 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 150 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 151 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 152 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 153 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 154 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 155 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 156 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 157 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 158 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 159 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 160 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 161 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 162 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 163 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 164 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 165 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 166 dimension: 6 filled tiles: 0
type1 = 5, type2 = 0, type3 = 0, type4 = 0, type5 = 0board: 167 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 168 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 169 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 170 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 171 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 172 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 173 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 174 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 175 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 176 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 177 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 178 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 179 dimension: 6 filled tiles: 0
type1 = 5, type2 = 0, type3 = 0, type4 = 0, type5 = 0board: 180 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 181 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 182 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 183 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 184 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 185 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 186 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 187 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 188 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 189 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 190 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 191 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 192 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 193 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 194 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 195 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 196 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 197 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 198 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 199 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 200 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 201 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 202 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 203 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 204 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 205 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 206 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 207 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 208 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 209 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 210 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 211 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 212 dimension: 6 filled tiles: 0
type1 = 5, type2 = 0, type3 = 0, type4 = 0, type5 = 0board: 213 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 214 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 215 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 216 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 217 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 218 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 219 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 220 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 221 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 222 dimension: 6 filled tiles: 0
type1 = 5, type2 = 0, type3 = 0, type4 = 0, type5 = 0board: 223 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 224 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 225 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 226 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 227 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 228 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 229 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 230 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 231 dimension: 6 filled tiles: 0
type1 = 5, type2 = 0, type3 = 0, type4 = 0, type5 = 0board: 232 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 233 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 234 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 235 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 236 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 237 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 238 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 239 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 240 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 241 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 242 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 243 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 244 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 245 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 246 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 247 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 248 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 249 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 250 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 251 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 252 dimension: 6 filled tiles: 0
